Top_Team,Bottom_Team,Winner
Golden State Warriors,Toronto Raptors,Toronto Raptors
Milwaukee Bucks,Toronto Raptors,Toronto Raptors
Golden State Warriors,Portland Trail Blazers,Golden State Warriors
Milwaukee Bucks,Boston Celtics,Milwaukee Bucks
Toronto Raptors,Philadelphia 76ers,Toronto Raptors
Golden State Warriors,Houston Rockets,Golden State Warriors
Denver Nuggets,Portland Trail Blazers,Portland Trail Blazers
Milwaukee Bucks,Detroit Pistons,Milwaukee Bucks
Boston Celtics,Indiana Pacers,Boston Celtics
Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers
Toronto Raptors,Orlando Magic,Toronto Raptors
Golden State Warriors,Los Angeles Clippers,Golden State Warriors
Houston Rockets,Utah Jazz,Houston Rockets
Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers
Denver Nuggets,San Antonio Spurs,Denver Nuggets